cell,neighborhood,pop_density,pop_women,pop_white,pop_black,pop_natam,pop_asian,pop_pacific,pop_hisplat,pop_some_college,median_income,income_inequality,pop_unemployed,median_monthly_housing_cost,pop_age_65_plus
Cell 100,Dorchester,0,40.9,54.9,20.7,0.4,15.8,0,46,6.3,60279,0.522,4.5,1840,6.2
Cell 106,Mission Hill,8367.8,57,60.3,16.5,0.2,16.6,0,10.6,5.8,48611.2,0.466,9.9,1768.2,22
Cell 107,Roxbury,9356.9,52.4,47.2,25.9,0.3,15.3,0.1,17.7,9.2,40614,0.506,11.7,1408.5,8.8
Cell 108,Roxbury,7430.3,52.3,20.4,51.7,1.6,5.1,0,29,14.2,32497.1,0.538,12,1059.1,9.7
Cell 109,Roxbury,6779.8,47.6,25.4,52.2,0.8,4.1,0,24.9,14.1,42493.3,0.499,9.2,1231.3,10.1
Cell 110,South Boston,6051,49.2,54.7,25.9,0.2,9.2,0,19.2,10.8,70202.8,0.504,8.8,1435.8,8.9
Cell 111,Dorchester,0,45.8,56,17.5,0.2,16.1,0,32.5,9,58290.4,0.513,6.8,1493.8,8.5
Cell 112,Dorchester,3113.7,50.5,36,12.7,1.1,26.8,0,33.6,9.3,25662,0.594,7.8,2014,6.8
Cell 123,Fenway/Kenmore,9970.9,59.5,61.8,13.6,0.2,17.9,0.1,10.6,3.9,39610.2,0.515,10.6,1784.8,17.5
Cell 124,Fenway/Kenmore,16561.2,57.2,54.7,19.2,0.2,14.8,0.4,16.7,6.2,33157.8,0.527,15.1,1394.1,11.6
Cell 125,South End,15006.7,52.5,53.8,20.8,0.3,12.2,0,20.2,8.7,58463.6,0.569,9.6,1539.9,10.2
Cell 126,South End,7923.1,46,52.5,20.8,0.7,9.9,0,21.7,11.6,66709.4,0.555,9,1544.9,11.5
Cell 127,South Boston,10303.8,50.7,62.5,16,0,9.1,0,22.2,10.8,70095.2,0.504,9.3,1331.3,8.2
Cell 128,South Boston,0,45.7,83.4,8.9,0,4.2,0,24.4,8.8,114139.4,0.431,2.9,1974.4,7.7
Cell 129,South Boston,0,43.1,90.9,7.2,0,0.3,0,27.3,6.2,135896.3,0.399,1.3,2343.7,7.4
Cell 142,Fenway/Kenmore,12309.7,54.5,66,3.8,0.3,22,0,12,3.1,43606.2,0.612,9.6,1917.2,2.9
Cell 143,Fenway/Kenmore,17714.2,55,68.5,9.2,0.2,16,0.3,10.8,5.7,63718.6,0.565,9.6,2006.6,14.4
Cell 144,South End,14544.4,52.1,71.1,9.2,0.2,12.3,0.2,12.2,7.3,97113.5,0.577,6.5,2100.7,13.4
Cell 145,South End,11642.4,50.3,59.3,6.4,0.4,25.6,0,12,7.6,76852,0.598,7.4,1776,14.3
Cell 146,South Boston,8138.9,41.9,73.9,7.3,0,10.8,0,10.8,9,112476.5,0.474,5,2159.5,6.9
Cell 147,South Boston,9211.8,42.2,88.8,2.2,0,5.3,0,4,9.7,137604,0.414,1.6,2402.6,8.1
Cell 148,South Boston,8207.7,40.1,93.3,2,0,1.6,0,3.4,9.2,136310.8,0.391,1.6,2306.2,7.2
Cell 149,South Boston,71,0,85.9,7.1,0,0,0,3.7,10.8,NA,NA,0,NA,0
Cell 160,Back Bay,12922.1,52.9,87.5,1.7,0.2,7.3,0,8.3,6.2,134231.2,0.572,3.6,2415.2,13.3
Cell 161,Back Bay,12507.1,54.6,75.8,5.3,0.2,14.8,0.2,6.6,6.1,111520.1,0.586,4,2254.2,16.1
Cell 162,Downtown,10061,52.8,59.4,2.6,0.2,32.3,0,6.5,4.6,76622,0.616,6.2,1848,15.1
Cell 163,South Boston,4295,45.5,78,1.9,0,16.7,0,5.9,6.7,131527,0.519,5.3,2713.3,8.2
Cell 164,South Boston,1736.9,22.2,85.1,4.8,0,5.1,0,3.3,9.3,155379,0.49,0.9,3007,4.3
Cell 165,South Boston,0,9,79.5,17,0,0,0,51.9,5.4,NA,NA,0,NA,0
Cell 166,South Boston,0,18.2,79.6,11.9,0,2.3,2.3,42.1,8.1,128000,0.335,2.1,2008,1.2
Cell 173,Beacon Hill,12185.9,51,83.4,3.1,0,9.1,0,9.2,5.5,108180.6,0.507,3.4,2443.4,14.4
Cell 174,Downtown,13100.2,49.7,82.2,3,0,10.5,0.1,8.2,7.2,108900.1,0.521,4.6,2448.6,14
Cell 175,Downtown,0,39.3,74.6,9.6,0,12.7,0.1,29.1,7,127955,0.555,4.6,2840.7,9.9
