ward,precinct,ward_precinct,voted_biden,voted_trump,voter_turnout
01,01,0101,80,17.5,73
01,02,0102,79.1,18.5,70.3
01,03,0103,80.4,17.7,68.2
01,04,0104,83.1,15.2,66.6
01,05,0105,78.1,19.1,66.4
01,06,0106,80.4,17.5,63.2
01,07,0107,78.1,19.5,64
01,08,0108,76.7,21.3,61.4
01,09,0109,80,18.4,67.2
01,10,0110,76.7,21.2,64.5
01,11,0111,67.3,30.9,71.3
01,12,0112,64.4,34.4,73.3
01,13,0113,69.8,28.4,65.5
01,14,0114,64.6,34.6,67.4
01,15,0115,100,0,100
01,total,100,75.8,22.2,67.3
02,01,0201,75.2,22.7,76.8
02,02,0202,78.4,19.8,67
02,03,0203,81.3,16.3,80.6
02,04,0204,78.4,19.3,70
02,05,0205,76.8,20.8,80
02,06,0206,74,24,78.6
02,07,0207,76.9,20.3,76.5
02,total,200,77.2,20.6,74.8
03,01,0301,73.6,24.2,74.2
03,02,0302,74.5,23.2,72.5
03,03,0303,77.6,20.5,71.5
03,04,0304,75.5,22.2,71.3
03,05,0305,81.4,16.3,70.7
03,06,0306,79,18.4,69.5
03,07,0307,90.3,8,70
03,08,0308,83.7,14.7,60
03,total,300,80.6,17.3,68.4
04,01,0401,88.2,9.8,78.1
04,02,0402,84.4,13.8,72.8
04,03,0403,90.2,8.1,77.6
04,04,0404,89.8,7.8,73.3
04,05,0405,87.5,11.1,65.7
04,06,0406,84.3,14,60.4
04,07,0407,89.2,9,58.2
04,08,0408,81,15.8,48.2
04,09,0409,90.6,8.7,41.9
04,10,0410,92.8,6.8,46.4
04,total,400,87.2,11,65.6
05,01,0501,85.7,12.1,66.6
05,02,0502,90.2,8.5,66
05,03,0503,84.9,12,77
05,04,0504,87.2,10.5,71
05,05,0505,84.3,14.3,80.8
05,06,0506,81.5,15.1,74.7
05,07,0507,82.9,14.5,75
05,08,0508,81.7,15.6,74.6
05,09,0509,84.1,13.8,70.8
05,10,0510,82.8,13.9,61.7
05,11,0511,85,12.5,77.1
05,2A,052A,86.4,11,64.6
05,total,500,84.7,12.9,70.8
06,01,0601,78.1,19.6,71.6
06,02,0602,74.4,22.4,65.4
06,03,0603,74.2,23.8,70.8
06,04,0604,71.2,26.3,74.3
06,05,0605,72.5,25.1,75
06,06,0606,65,32.6,75.3
06,07,0607,66.9,30.4,77
06,08,0608,64.7,32.9,75.8
06,09,0609,59.7,37.4,77.3
06,total,600,71.8,25.8,73.1
07,01,0701,64.4,33.7,77.1
07,02,0702,66.7,31.3,76.1
07,03,0703,67,31.1,73.1
07,04,0704,70.8,27.2,70.8
07,05,0705,76.6,20.9,65.3
07,06,0706,72.7,24.7,65.5
07,07,0707,79.9,19.4,54.6
07,08,0708,76.1,21.3,72
07,09,0709,76.4,21.3,70.1
07,10,0710,90,9.3,52.8
07,total,700,72.8,25.3,68.2
08,01,0801,89,10.1,61.3
08,02,0802,89.4,9.2,52.6
08,03,0803,89.9,8.5,50.6
08,04,0804,90.4,7.8,59.6
08,05,0805,89.5,9,60.1
08,06,0806,87.7,10.2,60.8
08,07,0807,92.8,5.8,58.3
08,total,800,89.8,8.8,56.4
09,01,0901,87.5,10.8,63.8
09,02,0902,90.7,7.2,69.8
09,03,0903,91.8,7.3,59.3
09,04,0904,90.5,8.5,54.7
09,05,0905,93.6,5.1,64.9
09,06,0906,91,7.7,62.2
10,01,1001,90.5,8.6,66.1
10,02,1002,87.8,10.6,59.2
10,03,1003,88,10.1,55.7
10,04,1004,81.5,17,61.8
10,05,1005,87.4,9.2,60.5
10,06,1006,88.2,8.4,62
10,07,1007,92.2,6.7,54.5
10,08,1008,90.3,7.3,68.7
10,09,1009,92.9,4.9,72.7
10,total,1000,89,8.9,63.1
11,01,1101,92.6,5,66.2
11,02,1102,93.8,5.4,65
11,03,1103,91.9,6.8,63.5
11,04,1104,92.1,5.4,61.7
11,05,1105,90.5,8,65.7
11,06,1106,93,4.6,75.3
11,07,1107,91.7,6.7,69.5
11,08,1108,93.3,4.7,75.5
11,09,1109,92.1,5.5,81.2
11,10,1110,94.6,3.7,74.8
11,total,1100,92.6,5.6,69.3
12,01,1201,93,5.5,62.7
12,02,1202,93.2,5.6,60.1
12,03,1203,93.1,5.8,57.5
12,04,1204,92.1,6.9,60.3
12,05,1205,94.9,4.7,66
12,06,1206,92.1,6.6,65.2
12,07,1207,91.5,6.8,52.5
12,08,1208,93.5,5.9,57.7
12,09,1209,93.7,5.3,64.4
12,total,1200,92.8,6,59.6
13,01,1301,91.4,7.3,58.9
13,02,1302,89.6,8.5,60.1
13,03,1303,83.3,13.8,59.1
13,04,1304,90.9,8.3,60.3
13,05,1305,90.2,7.7,57.7
13,06,1306,86.4,11.6,64.3
13,07,1307,74,24.2,69.2
13,08,1308,75.2,22.5,67.5
13,09,1309,79.3,19.4,72.5
13,10,1310,72.1,25.3,76.7
13,total,1300,81.5,16.5,65.5
14,01,1401,91.5,7.3,53.4
14,02,1402,92.7,6.5,58.7
14,03,1403,93.1,5.7,58.6
14,04,1404,91.8,6.5,55.1
14,05,1405,96.2,3.2,59.8
14,06,1406,91.4,7,59.7
14,07,1407,92.3,6.6,56.5
14,08,1408,94.3,3.9,67.2
14,09,1409,92.7,6,55.7
14,10,1410,91.4,8,59.7
14,11,1411,93.6,5.2,60.5
14,12,1412,93.9,4,62.5
14,13,1413,94.1,4.6,60.9
14,14,1414,95.7,3.5,62
14,total,1400,93,5.8,58.6
15,01,1501,91.3,7.8,59.2
15,02,1502,92.4,7,59.6
15,03,1503,87.9,10.9,51.6
15,04,1504,82.1,16.3,58.8
15,05,1505,89.7,9,59.1
15,06,1506,57.8,40.6,63
