name,type,role,birth_year,age,age_group,gender,social_org,influential_citizen,politician,politician_level,politician_role,politician_party,govt,govt_natl,govt_pref,govt_muni,research,business,fisheries,agriculture,emergency_services,health_care,lawyer,religious,media,outside_FMI_before_3_11,community_participation,community_participation_relig
name_1,FALSE,member,1961,58,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_2,FALSE,member,1949,70,60-80,man,no,no,no,NA,NA,NA,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
name_3,FALSE,member,1958,61,60-80,man,no,no,no,NA,NA,NA,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
name_4,FALSE,member,1966,53,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
name_5,FALSE,member,NA,NA,NA,woman,no,no,no,NA,NA,NA,no,no,no,no,yes,yes,no,no,no,no,no,no,no,NA,no,no
name_6,FALSE,member,NA,NA,20-40,man,no,no,no,NA,NA,NA,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
name_7,FALSE,member,1934,85,80-older,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_8,FALSE,member,1966,53,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
name_9,FALSE,member,1945,74,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_10,FALSE,member,1955,64,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_11,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
name_12,FALSE,member,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_13,FALSE,member,1951,68,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
name_14,FALSE,member,1975,44,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_15,FALSE,member,1948,71,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
name_16,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
name_17,FALSE,member,NA,NA,NA,man,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
name_18,FALSE,member,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
name_19,FALSE,member,NA,NA,60-80,man,no,no,no,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
name_20,FALSE,member,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
name_21,FALSE,member,1950,69,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
name_22,FALSE,member,1943,76,60-80,woman,no,no,no,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
name_23,FALSE,member,NA,NA,40-60,woman,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes
name_24,FALSE,member,1975,44,40-60,woman,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_25,FALSE,member,NA,NA,NA,woman,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
name_26,FALSE,member,1947,72,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
name_27,FALSE,member,NA,NA,NA,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_28,FALSE,member,1955,64,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no
name_29,FALSE,member,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
name_30,FALSE,member,1972,47,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
name_31,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_32,FALSE,member,1962,57,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
name_33,FALSE,member,1956,63,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
name_34,FALSE,member,NA,NA,NA,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
name_35,FALSE,member,NA,NA,40-60,woman,yes,no,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes
name_36,FALSE,member,NA,NA,40-60,woman,yes,no,no,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes
name_37,FALSE,member,1962,57,40-60,woman,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
name_38,FALSE,member,NA,NA,40-60,woman,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_39,FALSE,member,NA,NA,NA,man,no,no,no,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
name_40,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
name_41,FALSE,member,NA,NA,NA,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_42,FALSE,member,1981,38,20-40,man,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes
name_43,FALSE,member,NA,NA,40-60,man,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes
name_44,FALSE,member,NA,NA,40-60,man,yes,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes
name_46,FALSE,member,1953,66,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
name_47,FALSE,member,NA,NA,NA,man,yes,no,no,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes
name_48,FALSE,member,NA,NA,40-60,woman,yes,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes
name_49,FALSE,member,1978,41,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
name_50,FALSE,member,NA,NA,NA,man,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
name_51,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
name_52,FALSE,member,NA,NA,NA,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
name_53,FALSE,member,1935,84,80-older,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
name_54,FALSE,member,1938,81,80-older,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
name_55,FALSE,member,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
name_56,FALSE,member,1952,67,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_57,FALSE,member,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_58,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_59,FALSE,member,NA,NA,NA,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_60,FALSE,member,1970,49,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no
name_61,FALSE,member,NA,NA,NA,man,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
name_62,FALSE,member,1974,45,40-60,man,no,no,no,NA,NA,NA,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no
name_63,FALSE,member,NA,NA,20-40,woman,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no
name_64,FALSE,member,NA,NA,40-60,woman,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
name_65,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_66,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_67,FALSE,observer,NA,NA,60-80,man,no,no,no,NA,NA,NA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
name_68,FALSE,observer,NA,NA,60-80,man,no,no,no,NA,NA,NA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
name_69,FALSE,observer,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
name_70,FALSE,observer,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
name_71,FALSE,observer,NA,NA,40-60,man,no,no,no,NA,NA,NA,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_72,FALSE,member,NA,NA,40-60,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
name_73,FALSE,member,NA,NA,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_74,FALSE,member,NA,NA,60-80,man,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
name_75,FALSE,member,1950,69,60-80,woman,yes,no,no,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes
name_76,FALSE,member,1949,70,60-80,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
name_77,FALSE,member,NA,NA,20-40,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
name_78,FALSE,member,NA,NA,NA,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
name_79,FALSE,member,NA,NA,NA,man,no,no,no,NA,NA,NA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
name_80,FALSE,member,NA,NA,60-80,woman,no,no,no,NA,NA,NA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
name_81,FALSE,member,NA,NA,NA,man,yes,no,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes
