source_type,purchase_year,bus_manufacturer,bus_model,bus_type,seating_capacity,base_price,special_needs_bus,state,vehicle_dealer,source,source_url,date_published_or_updated
State Contract,2022,Lightning eMotors/Collins Bus,NA,Type A,30,195000,NA,AR,Master's Transportation,Arkansas Department of Transformation and Shared Services,https://www.transform.ar.gov/wp-content/uploads/MastersTrans_Specs_OptionsPricing-2022-Increase.xlsx,44785
State Contract,2022,Micro Bird,G5,Type A,30,301059.19,NA,AR,Central States Bus Sales,Arkansas Department of Transformation and Shared Services,https://www.transform.ar.gov/wp-content/uploads/Central-States-Specs-Options-Pricing-2022-Increase.xlsx,44760
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,66,370357.5,NA,AR,Midwest Bus Sales,Arkansas Department of Transformation and Shared Services,https://www.transform.ar.gov/wp-content/uploads/Midwest-Specs-Options-Pricing-2022-Increase.xlsx,44777
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,78,386745,NA,AR,Midwest Bus Sales,Arkansas Department of Transformation and Shared Services,https://www.transform.ar.gov/wp-content/uploads/Midwest-Specs-Options-Pricing-2022-Increase.xlsx,44777
State Contract,2022,Blue Bird,Vision,Type C,72,430845.37,NA,AR,Central States Bus Sales,Arkansas Department of Transformation and Shared Services,https://www.transform.ar.gov/wp-content/uploads/Central-States-Specs-Options-Pricing-2022-Increase.xlsx,44760
State Contract,2022,Blue Bird,Vision,Type C,78,431940.4,NA,AR,Central States Bus Sales,Arkansas Department of Transformation and Shared Services,https://www.transform.ar.gov/wp-content/uploads/Central-States-Specs-Options-Pricing-2022-Increase.xlsx,44760
State Contract,2022,Collins Bus,NA,Type A,NA,284200,No,AZ,RWC International,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62671,43483
State Contract,2022,GreenPower,Nano BEAST,Type A,NA,284200,No,AZ,RWC International,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62671,43483
State Contract,2022,Collins Bus,NA,Type A,NA,294980,Yes,AZ,RWC International,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62671,43483
State Contract,2022,GreenPower,Nano BEAST,Type A,NA,294980,Yes,AZ,RWC International,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62671,43483
State Contract,2022,Blue Bird,Vision,Type C,66,346546.23,Yes,AZ,Canyon State Bus Sales,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62656,43483
State Contract,2022,Blue Bird,Vision,Type C,NA,371088.38,No,AZ,Canyon State Bus Sales,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62656,43483
State Contract,2022,Blue Bird,Vision,Type C,NA,379960.77,No,AZ,Canyon State Bus Sales,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62656,43483
State Contract,2022,IC Bus,CE,Type C,NA,399938,No,AZ,RWC International,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62671,43483
State Contract,2022,IC Bus,CE,Type C,NA,416500,Yes,AZ,RWC International,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62671,43483
State Contract,2022,IC Bus,CE,Type C,NA,428260,No,AZ,RWC International,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62671,43483
State Contract,2022,Blue Bird,All-American,Type D,NA,374939.02,No,AZ,Canyon State Bus Sales,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62656,43483
State Contract,2022,GreenPower,BEAST,Type D,NA,441000,No,AZ,RWC International,Arizona Department of Administration,https://app.az.gov/page.aspx/en/ctr/contract_manage_public/62671,43483
State Contract,2022,Micro Bird,G5,Type A,18,235602,NA,FL,Florida Transportation Systems,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,Micro Bird,G5,Type A,27,238543,NA,FL,Florida Transportation Systems,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,Blue Bird,Vision,Type C,71,308029,NA,FL,Florida Transportation Systems,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,Blue Bird,Vision,Type C,65,308701,NA,FL,Florida Transportation Systems,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,Blue Bird,Vision,Type C,77,308734,NA,FL,Florida Transportation Systems,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,IC Bus,CE,Type C,47,366029,NA,FL,Sunstate International Trucks,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,65,371885,NA,FL,Matthews Bus Alliance,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,71,372937,NA,FL,Matthews Bus Alliance,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,IC Bus,CE,Type C,71,373004,NA,FL,Sunstate International Trucks,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,Thomas Built Buses,Saf-T-Liner C2 Jouley,Type C,77,374745,NA,FL,Matthews Bus Alliance,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
State Contract,2022,IC Bus,CE,Type C,71,427499,NA,FL,Sunstate International Trucks,Florida Department of Education,https://www.fldoe.org/core/fileparse.php/7585/urlt/PriceOrderingGuide.pdf,44743
