muni_code,muni,muni_type,muni_type_jp,muni_jp,pref,pref_code,region
01100,Sapporo,city,shi,札幌市,Hokkaido,01,Hokkaido
01202,Hakodate,city,shi,函館市,Hokkaido,01,Hokkaido
01203,Otaru,city,shi,小樽市,Hokkaido,01,Hokkaido
01204,Asahikawa,city,shi,旭川市,Hokkaido,01,Hokkaido
01205,Muroran,city,shi,室蘭市,Hokkaido,01,Hokkaido
01206,Kushiro,city,shi,釧路市,Hokkaido,01,Hokkaido
01207,Obihiro,city,shi,帯広市,Hokkaido,01,Hokkaido
01208,Kitami,city,shi,北見市,Hokkaido,01,Hokkaido
01209,Yubari,city,shi,夕張市,Hokkaido,01,Hokkaido
01210,Iwamizawa,city,shi,岩見沢市,Hokkaido,01,Hokkaido
01211,Abashiri,city,shi,網走市,Hokkaido,01,Hokkaido
01212,Rumoi,city,shi,留萌市,Hokkaido,01,Hokkaido
01213,Tomakomai,city,shi,苫小牧市,Hokkaido,01,Hokkaido
01214,Wakkanai,city,shi,稚内市,Hokkaido,01,Hokkaido
01215,Bibai,city,shi,美唄市,Hokkaido,01,Hokkaido
01216,Ashibetsu,city,shi,芦別市,Hokkaido,01,Hokkaido
01217,Ebetsu,city,shi,江別市,Hokkaido,01,Hokkaido
01218,Akabira,city,shi,赤平市,Hokkaido,01,Hokkaido
01219,Mombetsu,city,shi,紋別市,Hokkaido,01,Hokkaido
01220,Shibetsu,city,shi,士別市,Hokkaido,01,Hokkaido
01221,Nayoro,city,shi,名寄市,Hokkaido,01,Hokkaido
01222,Mikasa,city,shi,三笠市,Hokkaido,01,Hokkaido
01223,Nemuro,city,shi,根室市,Hokkaido,01,Hokkaido
01224,Chitose,city,shi,千歳市,Hokkaido,01,Hokkaido
01225,Takikawa,city,shi,滝川市,Hokkaido,01,Hokkaido
01226,Sunagawa,city,shi,砂川市,Hokkaido,01,Hokkaido
01227,Utashinai,city,shi,歌志内市,Hokkaido,01,Hokkaido
01228,Fukagawa,city,shi,深川市,Hokkaido,01,Hokkaido
01229,Furano,city,shi,富良野市,Hokkaido,01,Hokkaido
01230,Noboribetsu,city,shi,登別市,Hokkaido,01,Hokkaido
01231,Eniwa,city,shi,恵庭市,Hokkaido,01,Hokkaido
01233,Date,city,shi,伊達市,Hokkaido,01,Hokkaido
01234,Kitahiroshima,city,shi,北広島市,Hokkaido,01,Hokkaido
01235,Ishikari,city,shi,石狩市,Hokkaido,01,Hokkaido
01236,Hokuto,city,shi,北斗市,Hokkaido,01,Hokkaido
01303,Tobetsu,town,cho,当別町,Hokkaido,01,Hokkaido
01304,Shinshinotsu,village,mura,新篠津村,Hokkaido,01,Hokkaido
01331,Matsumae,town,cho,松前町,Hokkaido,01,Hokkaido
01332,Fukushima,town,cho,福島町,Hokkaido,01,Hokkaido
01333,Shiriuchi,town,cho,知内町,Hokkaido,01,Hokkaido
01334,Kikonai,town,cho,木古内町,Hokkaido,01,Hokkaido
01337,Nanae,town,cho,七飯町,Hokkaido,01,Hokkaido
01343,Shikabe,town,cho,鹿部町,Hokkaido,01,Hokkaido
01345,Mori,town,machi,森町,Hokkaido,01,Hokkaido
01346,Yakumo,town,cho,八雲町,Hokkaido,01,Hokkaido
01347,Oshamambe,town,cho,長万部町,Hokkaido,01,Hokkaido
01361,Esashi,town,cho,江差町,Hokkaido,01,Hokkaido
01362,Kaminokuni,town,cho,上ノ国町,Hokkaido,01,Hokkaido
01363,Assabu,town,cho,厚沢部町,Hokkaido,01,Hokkaido
01364,Otobe,town,cho,乙部町,Hokkaido,01,Hokkaido
01367,Okushiri,town,cho,奥尻町,Hokkaido,01,Hokkaido
01370,Imakane,town,cho,今金町,Hokkaido,01,Hokkaido
01371,Setana,town,cho,せたな町,Hokkaido,01,Hokkaido
01391,Shimamaki,village,mura,島牧村,Hokkaido,01,Hokkaido
01392,Suttsu,town,cho,寿都町,Hokkaido,01,Hokkaido
01393,Kuromatsunai,town,cho,黒松内町,Hokkaido,01,Hokkaido
01394,Rankoshi,town,cho,蘭越町,Hokkaido,01,Hokkaido
01395,Niseko,town,cho,ニセコ町,Hokkaido,01,Hokkaido
01396,Makkari,village,mura,真狩村,Hokkaido,01,Hokkaido
01397,Rusutsu,village,mura,留寿都村,Hokkaido,01,Hokkaido
01398,Kimobetsu,town,cho,喜茂別町,Hokkaido,01,Hokkaido
