muni_code,date,year,solar_under_10kw,disaster,pop,solar,solar_rate
02204,2019-06-25,2019,214,0,34284,6,0.17500875043752187
02204,2019-03-25,2019,208,0,34284,10,0.29168125072920315
02204,2018-12-25,2018,198,0,34284,9,0.2625131256562828
02204,2018-09-25,2018,189,0,34284,3,0.08750437521876094
02204,2018-06-25,2018,186,0,34284,2,0.058336250145840624
02204,2018-03-25,2018,184,0,34284,3,0.08750437521876094
02204,2017-12-25,2017,181,0,34284,0,0
02204,2017-09-25,2017,478,0,34284,309,9.012950647532378
02204,2017-03-25,2017,169,0,34284,0,0
02204,2017-02-25,2017,169,0,34284,1,0.029168125072920312
02204,2017-01-25,2017,168,0,34284,0,0
02204,2016-12-25,2016,168,0,34284,3,0.08750437521876094
02204,2016-11-25,2016,165,0,34284,3,0.08750437521876094
02204,2016-10-25,2016,162,0,34284,0,0
02204,2016-09-25,2016,162,0,34284,2,0.058336250145840624
02204,2016-08-25,2016,160,0,34284,3,0.08750437521876094
02204,2016-07-25,2016,157,0,34284,0,0
02204,2016-06-25,2016,157,0,34284,0,0
02204,2016-05-25,2016,157,0,34284,0,0
02204,2016-04-25,2016,157,0,34284,0,0
02204,2016-03-25,2016,157,0,34284,2,0.058336250145840624
02204,2016-02-25,2016,155,0,34284,1,0.029168125072920312
02204,2016-01-25,2016,154,0,34284,0,0
02204,2015-12-25,2015,154,0,34284,1,0.029168125072920312
02204,2015-11-25,2015,153,0,34284,0,0
02204,2015-10-25,2015,153,0,34284,1,0.029168125072920312
02204,2015-09-25,2015,152,0,34284,2,0.058336250145840624
02204,2015-08-25,2015,150,0,34284,0,0
02204,2015-07-25,2015,150,0,34284,1,0.029168125072920312
02204,2015-06-25,2015,149,0,34284,2,0.058336250145840624
02204,2015-05-25,2015,147,0,34284,1,0.029168125072920312
02204,2015-04-25,2015,146,0,34284,1,0.029168125072920312
02204,2015-03-25,2015,145,0,34284,0,0
02204,2015-02-25,2015,145,0,34284,0,0
02204,2015-01-25,2015,145,0,34284,1,0.029168125072920312
02204,2014-12-25,2014,144,0,34284,2,0.058336250145840624
02204,2014-11-25,2014,142,0,34284,3,0.08750437521876094
02204,2014-10-25,2014,139,0,34284,2,0.058336250145840624
02204,2014-09-25,2014,137,0,34284,3,0.08750437521876094
02204,2014-08-25,2014,134,0,34284,3,0.08750437521876094
02204,2014-07-25,2014,131,0,34284,0,0
02204,2014-06-25,2014,131,0,34284,1,0.029168125072920312
02204,2014-05-25,2014,130,0,34284,2,0.058336250145840624
02205,2019-06-25,2019,219,0,55181,3,0.05436653920733586
02205,2019-03-25,2019,216,0,55181,6,0.10873307841467172
02205,2018-12-25,2018,210,0,55181,14,0.2537105163009007
02205,2018-09-25,2018,196,0,55181,1,0.018122179735778617
02205,2018-06-25,2018,195,0,55181,2,0.036244359471557235
02205,2018-03-25,2018,193,0,55181,3,0.05436653920733586
02205,2017-12-25,2017,190,0,55181,0,0
02205,2017-09-25,2017,480,0,55181,302,5.472898280205143
02205,2017-03-25,2017,178,0,55181,0,0
02205,2017-02-25,2017,178,0,55181,0,0
02205,2017-01-25,2017,178,0,55181,2,0.036244359471557235
02205,2016-12-25,2016,176,0,55181,0,0
02205,2016-11-25,2016,176,0,55181,1,0.018122179735778617
02205,2016-10-25,2016,175,0,55181,3,0.05436653920733586
02205,2016-09-25,2016,172,0,55181,0,0
02205,2016-08-25,2016,172,0,55181,0,0
02205,2016-07-25,2016,172,0,55181,1,0.018122179735778617
02205,2016-06-25,2016,171,0,55181,0,0
02205,2016-05-25,2016,171,0,55181,0,0
02205,2016-04-25,2016,171,0,55181,1,0.018122179735778617
02205,2016-03-25,2016,170,0,55181,2,0.036244359471557235
02205,2016-02-25,2016,168,0,55181,1,0.018122179735778617
02205,2016-01-25,2016,167,0,55181,0,0
02205,2015-12-25,2015,167,0,55181,2,0.036244359471557235
02205,2015-11-25,2015,165,0,55181,0,0
02205,2015-10-25,2015,165,0,55181,1,0.018122179735778617
02205,2015-09-25,2015,164,0,55181,1,0.018122179735778617
02205,2015-08-25,2015,163,0,55181,0,0
02205,2015-07-25,2015,163,0,55181,0,0
02205,2015-06-25,2015,163,0,55181,0,0
02205,2015-05-25,2015,163,0,55181,0,0
02205,2015-04-25,2015,163,0,55181,0,0
02205,2015-03-25,2015,163,0,55181,3,0.05436653920733586
02205,2015-02-25,2015,160,0,55181,2,0.036244359471557235
02205,2015-01-25,2015,158,0,55181,2,0.036244359471557235
02205,2014-12-25,2014,156,0,55181,1,0.018122179735778617
02205,2014-11-25,2014,155,0,55181,2,0.036244359471557235
02205,2014-10-25,2014,153,0,55181,1,0.018122179735778617
02205,2014-09-25,2014,152,0,55181,0,0
02205,2014-08-25,2014,152,0,55181,2,0.036244359471557235
02205,2014-07-25,2014,150,0,55181,0,0
