muni_code,muni,muni_type,pref,pref_code,region,fukushima_exclusion_zone,coast,pv_output_2018,windspeed_2018,solarkw,sp,sp_10_49kw,sp_50_499kw,sp_500_1999kw,sp_2000kw_plus,land_price_commercial_2009,land_price_residential_2009,area_2010,population_2010,unemployment_2010,voter_turnout_2012,crime_rate_2008,income_taxable_per_capita_2010,financial_str_index_2010,ratio_revs_exp_2010,disaster_deaths_2011,disaster_damage_2011
01100,Sapporo,city,Hokkaido,01,Hokkaido,0,0,1218,6.56,66442.8,217,162,15,40,0,257000,65000,112112,1913545,7.7,55.3674057852321,14.32263156,1256912.95475152,69,0.6,0,0
01202,Hakodate,city,Hokkaido,01,Hokkaido,0,0,1178,7.23,53021.9,111,41,29,37,4,82900,43000,67793,279127,8.3,57.6014306187934,12.57850369,1073621.58085746,47,1.4,0,0
01203,Otaru,city,Hokkaido,01,Hokkaido,0,0,1086,7.74,12910.2,24,13,3,8,0,68200,22200,24330,131928,9.2,57.7747528805191,7.852768177,973634.209568856,46,3.6,0,0
01204,Asahikawa,city,Hokkaido,01,Hokkaido,0,0,1213,5.29,61047.4,87,47,10,11,19,82400,24300,74760,347095,8.1,55.0080682870477,11.09494519,1064822.89286795,50,3.6,0,0
01205,Muroran,city,Hokkaido,01,Hokkaido,0,0,1197,7.25,372915.9,253,15,13,225,0,54000,20000,8065,94535,7.1,53.8962601402447,9.150050246,1160574.94049823,65,3.7,0,0
01206,Kushiro,city,Hokkaido,01,Hokkaido,0,0,1303,6.96,180201.4,408,269,29,109,1,49600,18700,136275,181169,8.9,56.5832478381943,9.019203065,1090614.48150622,46,0.8,0,0
01207,Obihiro,city,Hokkaido,01,Hokkaido,0,0,1378,5.01,66351.5,274,207,32,30,5,57700,28100,61894,168057,5.8,58.754068003897,8.937443843,1201272.20526369,55,2.2,0,0
01208,Kitami,city,Hokkaido,01,Hokkaido,0,0,1318,6.13,74902.2,408,320,51,36,1,44400,18100,142756,125689,6.2,58.1352898150881,8.003882599,1096379.26151055,46,1.3,0,0
01209,Yubari,city,Hokkaido,01,Hokkaido,0,0,1152,7.07,99,2,2,0,0,0,8100,4100,76320,10922,8.8,NA,5.85973265,779649.606299213,21,10.1,0,0
01210,Iwamizawa,city,Hokkaido,01,Hokkaido,0,0,1199,6.09,179580.1,47,13,1,8,25,44400,12000,48110,90145,7.8,NA,11.07105219,1028399.86688114,38,3.3,0,0
01211,Abashiri,city,Hokkaido,01,Hokkaido,0,0,1201,7.22,23540.6,106,68,33,5,0,43500,20000,47100,40998,6.2,58.1352898150881,6.439338504,1201719.79120933,39,2.1,0,0
01212,Rumoi,city,Hokkaido,01,Hokkaido,0,0,1093,6.82,49.5,1,1,0,0,0,31000,19600,29751,24457,9.4,NA,6.99186327,1119960.2567772,32,2.6,0,0
01213,Tomakomai,city,Hokkaido,01,Hokkaido,0,0,1207,6.51,1403929.3,489,282,32,123,52,50700,23700,56148,173320,6.9,53.8962601402447,12.33556427,1173338.13177937,77,1.1,0,0
01214,Wakkanai,city,Hokkaido,01,Hokkaido,0,0,1083,7.97,5855.5,19,18,0,0,1,49900,14800,76089,39595,8.7,58.1352898150881,5.025887107,1189673.09003662,38,2.1,0,0
01215,Bibai,city,Hokkaido,01,Hokkaido,0,0,1148,6.11,2468.5,11,10,0,1,0,18500,10400,27761,26034,7.7,NA,7.759084274,874011.753860336,25,5.2,0,0
01216,Ashibetsu,city,Hokkaido,01,Hokkaido,0,0,1166,5.95,15717.4,19,5,0,14,0,14300,8100,86502,16628,7.3,NA,5.171999038,795985.50637479,26,2.4,0,0
01217,Ebetsu,city,Hokkaido,01,Hokkaido,0,0,1226,6.4,28011.6,36,9,2,25,0,45800,31200,18757,123722,7.6,57.8012686839865,10.95197297,1071386.47936503,53,2.1,0,0
01218,Akabira,city,Hokkaido,01,Hokkaido,0,0,1177,6.04,336,7,7,0,0,0,12700,7000,12988,12637,8.7,NA,5.85582021,751734.747171006,21,6.6,0,0
01219,Mombetsu,city,Hokkaido,01,Hokkaido,0,0,1129,6.27,214649,97,43,0,41,13,35000,9200,83070,24750,6.1,58.1352898150881,6.262626263,1089660.16161616,31,7.1,0,0
01220,Shibetsu,city,Hokkaido,01,Hokkaido,0,0,1182,5.98,390.7,9,9,0,0,0,19000,11100,111929,21787,4.6,55.0080682870477,4.865286639,960620.553541103,27,7.5,0,0
01221,Nayoro,city,Hokkaido,01,Hokkaido,0,0,1186,5.7,4671.6,7,4,0,3,0,28500,9400,53523,30591,4.9,55.0080682870477,6.570559969,1107816.74348665,29,1.7,0,0
01222,Mikasa,city,Hokkaido,01,Hokkaido,0,0,1191,6.54,5842.6,17,12,2,3,0,12900,5500,30264,10221,11.8,NA,9.588102925,803331.670090989,20,2.3,0,0
01223,Nemuro,city,Hokkaido,01,Hokkaido,0,0,1305,7.86,53612.4,79,25,19,35,0,25000,12800,41278,29201,5.3,56.5832478381943,4.999828773,1157252.69682545,31,2.1,0,0
01224,Chitose,city,Hokkaido,01,Hokkaido,0,0,1246,5.78,153985,268,211,16,37,4,44500,34100,59495,93604,6,57.8012686839865,14.35836075,1233814.31349088,78,2,0,0
01225,Takikawa,city,Hokkaido,01,Hokkaido,0,0,1182,5.81,18910.4,48,28,2,18,0,24500,12600,11582,43170,5.8,NA,12.53185082,1022821.31109567,38,5,0,0
01226,Sunagawa,city,Hokkaido,01,Hokkaido,0,0,1177,5.92,322.9,5,3,2,0,0,29000,15500,7869,19056,8.4,NA,8.658690176,1008403.80982368,32,3.6,0,0
01227,Utashinai,city,Hokkaido,01,Hokkaido,0,0,1162,6.29,0,0,0,0,0,0,3900,3200,5599,4387,11.4,NA,2.507408252,740441.531798496,12,6.7,0,0
01228,Fukagawa,city,Hokkaido,01,Hokkaido,0,0,1151,5.79,2658.6,10,5,5,0,0,21000,10200,52923,23709,5.2,NA,7.718587878,928723.733603273,25,3.7,0,0
01229,Furano,city,Hokkaido,01,Hokkaido,0,0,1145,8.08,341.7,7,7,0,0,0,41000,18500,60097,24259,4.4,55.0080682870477,6.595490333,1033254.25615236,33,2.7,0,0
01230,Noboribetsu,city,Hokkaido,01,Hokkaido,0,0,1182,6.48,61720.9,71,43,4,23,1,37700,19400,21211,51526,8.6,53.8962601402447,9.179831541,1068415.18844855,47,5.8,0,0
01231,Eniwa,city,Hokkaido,01,Hokkaido,0,0,1246,5.87,19240.7,68,56,0,12,0,39800,25400,29487,69384,7.6,57.8012686839865,14.72962066,1148755.99561859,63,3.9,0,0
01233,Date,city,Hokkaido,01,Hokkaido,0,0,1247,7.36,227806.6,207,52,0,23,15,34000,22800,44428,36278,5.8,53.8962601402447,7.993825459,1040153.83979271,39,5.4,0,0
01234,Kitahiroshima,city,Hokkaido,01,Hokkaido,0,0,1251,6.04,90736.7,178,119,10,48,1,40300,25800,11854,60353,6.9,57.8012686839865,10.65398572,1151013.08965586,66,2.6,0,0
01235,Ishikari,city,Hokkaido,01,Hokkaido,0,0,1176,7.38,49119.2,139,110,5,24,0,37500,15900,72186,59449,9.8,57.8012686839865,13.50737607,1010392.13443456,55,2.8,0,0
01236,Hokuto,city,Hokkaido,01,Hokkaido,0,0,1113,6.54,96914.3,93,28,1,64,0,55000,29400,39730,48032,8,57.6014306187934,10.59710193,939450.179047302,46,3.3,0,0
01303,Tobetsu,town,Hokkaido,01,Hokkaido,0,0,1124,6.54,49137.9,75,17,42,16,0,34000,15100,42271,18766,7.5,57.8012686839865,12.94895023,977042.150698071,36,3.5,0,0
01304,Shinshinotsu,village,Hokkaido,01,Hokkaido,0,0,1208,6.27,8019.4,6,2,0,4,0,0,6700,7824,3515,2.2,57.8012686839865,5.974395448,1023072.26173542,18,4.3,0,0
01331,Matsumae,town,Hokkaido,01,Hokkaido,0,0,1076,8.52,1980,1,0,0,1,0,44000,14300,29312,8748,10,57.6014306187934,2.286236854,849340.649291267,19,8.1,0,0
01332,Fukushima,town,Hokkaido,01,Hokkaido,0,0,1092,8.44,0,0,0,0,0,0,17500,11500,18725,5114,8.7,57.6014306187934,1.759874853,781905.35784122,20,3.2,0,0
01333,Shiriuchi,town,Hokkaido,01,Hokkaido,0,0,1074,7.13,20746.4,9,6,0,2,1,14000,6900,19667,5074,6.9,57.6014306187934,2.364998029,866177.571935357,26,2.6,0,0
01334,Kikonai,town,Hokkaido,01,Hokkaido,0,0,1115,6.68,2597.6,16,10,5,1,0,27700,15800,22189,5341,10.2,57.6014306187934,4.493540535,838253.136116832,20,5.7,0,0
01337,Nanae,town,Hokkaido,01,Hokkaido,0,0,1095,8.08,25668.7,72,52,3,17,0,36400,20700,21661,28463,7,57.6014306187934,6.218599585,941518.743632084,44,2.6,0,0
01343,Shikabe,town,Hokkaido,01,Hokkaido,0,0,1164,7.34,4886.6,13,10,0,3,0,14500,7900,11061,4767,9.8,57.6014306187934,5.663939585,836668.344870988,26,1.9,0,0
01345,Mori,town,Hokkaido,01,Hokkaido,0,0,1146,7.2,6770.8,105,25,3,44,0,33000,11700,36827,17859,8.8,57.6014306187934,7.503219665,858863.038244023,28,1.4,0,0
01346,Yakumo,town,Hokkaido,01,Hokkaido,0,0,1089,6.69,1062570.1,46,16,0,16,14,44000,17900,95598,18896,6.2,57.6014306187934,8.573243014,1060589.11939035,27,7,0,0
01347,Oshamambe,town,Hokkaido,01,Hokkaido,0,0,1081,6.2,102749.8,2102,2101,0,1,0,18100,9800,31084,6386,6.4,57.6014306187934,4.384591293,880488.88192922,21,2.6,0,0
01361,Esashi,town,Hokkaido,01,Hokkaido,0,0,1043,7.78,28722.4,139,116,0,23,0,46500,17700,10959,9004,9.5,57.6014306187934,4.997778765,1054747.88982674,26,10.1,0,0
01362,Kaminokuni,town,Hokkaido,01,Hokkaido,0,0,1009,8.1,250,1,0,1,0,0,14400,8800,54760,5428,7.5,57.6014306187934,4.237288136,854163.411938099,14,4.2,0,0
01363,Assabu,town,Hokkaido,01,Hokkaido,0,0,1086,7.37,3923,8,4,0,4,0,21800,10100,46042,4409,5.5,57.6014306187934,7.257881606,1005725.10773418,17,3.3,0,0
01364,Otobe,town,Hokkaido,01,Hokkaido,0,0,1051,7.31,99,2,2,0,0,0,17200,11400,16256,4408,9.8,57.6014306187934,4.764065336,799366.379310345,15,3,0,0
01367,Okushiri,town,Hokkaido,01,Hokkaido,0,0,1051,8.56,0,0,0,0,0,0,26000,7700,14298,3033,4.9,57.6014306187934,2.96735905,1151594.13122321,14,1.8,0,0
01370,Imakane,town,Hokkaido,01,Hokkaido,0,0,1072,7.07,0,0,0,0,0,0,21800,14200,56814,6186,7.7,57.6014306187934,2.586485613,868107.985774329,19,1,0,0
01371,Setana,town,Hokkaido,01,Hokkaido,0,0,1023,7.7,1411.4,5,4,0,1,0,19900,9400,63867,9590,5.4,57.6014306187934,5.109489051,802781.543274244,15,3.2,0,0
01391,Shimamaki,village,Hokkaido,01,Hokkaido,0,0,986,9.13,0,0,0,0,0,0,0,4500,43726,1781,4.1,57.7747528805191,5.05334082,780366.086468276,10,1.7,0,0
01392,Suttsu,town,Hokkaido,01,Hokkaido,0,0,930,7.92,0,0,0,0,0,0,16500,7400,9537,3443,5.6,57.7747528805191,5.808887598,932589.892535579,15,1.5,0,0
01393,Kuromatsunai,town,Hokkaido,01,Hokkaido,0,0,1092,6.97,0,0,0,0,0,0,13800,4700,34547,3250,4.3,57.7747528805191,7.076923077,883780.923076923,14,7.8,0,0
01394,Rankoshi,town,Hokkaido,01,Hokkaido,0,0,1087,6.77,250,1,0,1,0,0,23200,7800,44968,5292,4.5,57.7747528805191,5.102040816,835983.560090703,17,7.4,0,0
01395,Niseko,town,Hokkaido,01,Hokkaido,0,0,1131,6.26,0,0,0,0,0,0,19500,10600,19713,4823,9.6,57.7747528805191,7.049554219,927654.571843251,25,3.7,0,0
01396,Makkari,village,Hokkaido,01,Hokkaido,0,0,1171,6.66,750,1,0,0,1,0,0,5600,11443,2189,1.9,57.7747528805191,3.197807218,1107042.48515304,14,3.1,0,0
01397,Rusutsu,village,Hokkaido,01,Hokkaido,0,0,1151,7.25,0,0,0,0,0,0,0,5400,11992,2034,1.9,57.7747528805191,7.374631268,1037158.30875123,25,7.7,0,0
