cbsa,metro_name
49660,"Youngstown-Warren-Boardman, OH-PA"
49660,"Youngstown-Warren-Boardman, OH"
49620,"York-Hanover, PA"
49180,"Winston-Salem, NC"
48620,"Wichita, KS"
48540,"Wheeling, WV-OH"
47940,"Waterloo-Cedar Falls, IA"
47664,"Warren-Troy-Farmington Hills, MI"
47380,"Waco, TX"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
47260,Virginia Beach-Norfolk-Newport
46540,"Utica-Rome, NY"
46140,"Tulsa, OK"
45940,"Trenton, NJ"
45860,"Torrington, CT"
45820,"Topeka, KS"
45780,"Toledo, OH"
45460,"Terre Haute, IN"
45300,"Tampa-St. Petersburg-Clearwater, FL"
45300,Tampa-St. Petersburg-Clearwate
45104,"Tacoma-Lakewood, WA"
45060,"Syracuse, NY"
44700,"Stockton-Lodi, CA"
44220,"Springfield, OH"
44180,"Springfield, MO"
44140,"Springfield, MA"
44100,"Springfield, IL"
44060,"Spokane-Spokane Valley, WA"
43780,"South Bend-Mishawaka, IN-MI"
43580,"Sioux City, IA-NE-SD"
43340,"Shreveport-Bossier City, LA"
42660,"Seattle-Tacoma-Bellevue, WA"
42644,"Seattle-Bellevue-Everett, WA"
42540,"Scranton--Wilkes-Barre--Hazleton, PA"
42540,Scranton--Wilkes-Barre--Hazlet
42340,"Savannah, GA"
41945,San Jose-Sunnyvale-Santa Clara
41940,"San Jose-Sunnyvale-Santa Clara, CA"
41940,San Jose-Sunnyvale-Santa Clara
41884,"San Francisco-Redwood City-South San Francisco, CA"
41860,"San Francisco-Oakland-Hayward,"
41740,"San Diego-Carlsbad, CA"
41700,"San Antonio-New Braunfels, TX"
41620,"Salt Lake City, UT"
41180,"St. Louis, MO-IL"
41140,"St. Joseph, MO-KS"
40980,"Saginaw, MI"
40900,"Sacramento--Roseville--Arden-Arcade, CA"
40900,Sacramento--Roseville--Arden-A
40420,"Rockford, IL"
40380,"Rochester, NY"
40340,"Rochester, MN"
40220,"Roanoke, VA"
40060,"Richmond, VA"
39540,"Racine, WI"
39380,"Pueblo, CO"
39300,"Providence-Warwick, RI-MA"
39101,"Poughkeepsie-Newburgh, NY"
39100,0
39100,"Poughkeepsie-Newburgh, NY"
39020,"Portsmouth, OH"
38900,"Portland-Vancouver-Hillsboro, OR-WA"
38900,"Portland-Vancouver-Hillsboro,"
38300,"Pittsburgh, PA"
38060,"Phoenix-Mesa-Scottsdale, AZ"
37980,Philadelphia-Camden-Wilmington
37964,"Philadelphia, PA"
37900,"Peoria, IL"
36780,"Oshkosh-Neenah, WI"
36540,"Omaha-Council Bluffs, NE-IA"
36420,"Oklahoma City, OK"
36260,"Ogden-Clearfield, UT"
36084,"Oakland-Hayward-Berkeley, CA"
35620,"New York-Newark-Jersey City, N"
35614,"New York-Jersey City-White Plains, NY-NJ"
35380,"New Orleans-Metairie, LA"
35300,"New Haven-Milford, CT"
35260,"New Castle, PA"
35084,"Newark, NJ-PA"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
34980,Nashville-Davidson--Murfreesbo
34740,"Muskegon, MI"
34620,"Muncie, IN"
33880,"Montgomery, AL"
33874,"Montgomery County-Bucks County-Chester County, PA"
33860,"Montgomery, AL"
33681,"Mobile, AL"
33660,"Mobile, AL"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
33460,Minneapolis-St. Paul-Bloomingt
33340,"Milwaukee-Waukesha-West Allis, WI"
33340,"Milwaukee-Waukesha-West Allis,"
33124,"Miami-Miami Beach-Kendall, FL"
33100,Miami-Fort Lauderdale-West Pal
32820,"Memphis, TN-MS-AR"
