year,cbsa,county,geoid,hri,interval
2000,42340,13051,13051000009,1,1
2000,42340,13051,13051000008,1,1
2000,35614,36005,36005000210,1,1
2000,35614,36005,36005000242,1,1
2000,35614,36005,36005000212,1,1
2000,20260,27137,27137000037,1,1
2000,36084,06001,06001004046,1,1
2000,36084,06001,06001004211,1,1
2000,36084,06001,06001404501,1,1
2000,31084,06037,06037001240,1,1
2000,31084,06037,06037001417,1,1
2000,31084,06037,06037003013,1,1
2000,31084,06037,06037004642,1,1
2000,31084,06037,06037005712,1,1
2000,31084,06037,06037005713,1,1
2000,31084,06037,06037007007,1,1
2000,31084,06037,06037124901,1,1
2000,31084,06037,06037141302,1,1
2000,31084,06037,06037261102,1,1
2000,31084,06037,06037651301,1,1
2000,31084,06037,06037651302,1,1
2000,31084,06037,06037670301,1,1
2000,31084,06037,06037670321,1,1
2000,31084,06037,06037670322,1,1
2000,25540,09003,09003004174,1,1
2000,25540,09003,09003004972,1,1
2000,25540,09003,09003004973,1,1
2000,25540,09003,09003004975,1,1
2000,33124,12086,12086000040,1,1
2000,45300,12103,12103024001,1,1
2000,12060,13089,13089000201,1,1
2000,43780,18141,18141000032,1,1
2000,48620,20173,20173000021,1,1
2000,48620,20173,20173000036,1,1
2000,48620,20173,20173000074,1,1
2000,31140,21111,21111000096,1,1
2000,43340,22017,22017000227,1,1
2000,43340,22017,22017000231,1,1
2000,19804,26163,26163005009,1,1
2000,19804,26163,26163005010,1,1
2000,19804,26163,26163005382,1,1
2000,19804,26163,26163005386,1,1
2000,19804,26163,26163005509,1,1
2000,33460,27123,27123000363,1,1
2000,41180,29189,29189002165,1,1
2000,36540,31055,31055000045,1,1
2000,36540,31055,31055000046,1,1
2000,36540,31055,31055000047,1,1
2000,36540,31055,31055000048,1,1
2000,36540,31055,31055006604,1,1
2000,36540,31055,31055006701,1,1
2000,30700,31109,31109000024,1,1
2000,45940,34021,34021000012,1,1
2000,10580,36001,36001013706,1,1
2000,35614,36047,36047000040,1,1
2000,35614,36061,36061000102,1,1
2000,35614,36061,36061000120,1,1
2000,35614,36061,36061000122,1,1
2000,35614,36061,36061000128,1,1
2000,35614,36061,36061000130,1,1
2000,35614,36061,36061000142,1,1
2000,35614,36061,36061011401,1,1
2000,35614,36061,36061011402,1,1
2000,35614,36061,36061015001,1,1
2000,35614,36061,36061015002,1,1
2000,35614,36061,36061016001,1,1
2000,35614,36081,36081000739,1,1
2000,35614,36081,36081000741,1,1
2000,35614,36081,36081000747,1,1
2000,35614,36119,36119002104,1,1
2000,35614,36119,36119002105,1,1
2000,35614,36119,36119002107,1,1
2000,35614,36119,36119006802,1,1
2000,49180,37067,37067002501,1,1
2000,49180,37067,37067002502,1,1
2000,17460,39035,39035001831,1,1
2000,17460,39035,39035001833,1,1
2000,17460,39035,39035183401,1,1
2000,17460,39035,39035183501,1,1
2000,17460,39035,39035183502,1,1
2000,17460,39035,39035183604,1,1
2000,45780,39095,39095001301,1,1
2000,19380,39113,39113000204,1,1
2000,10420,39153,39153005062,1,1
2000,10420,39153,39153507101,1,1
2000,10420,39153,39153507102,1,1
2000,36420,40109,40109106401,1,1
2000,46140,40143,40143000045,1,1
2000,46140,40143,40143004101,1,1
2000,38900,41005,41005000201,1,1
2000,38300,42003,42003004732,1,1
2000,38300,42003,42003004735,1,1
2000,25420,42041,42041000105,1,1
2000,37964,42045,42045004061,1,1
2000,29540,42071,42071011802,1,1
2000,42540,42079,42079002002,1,1
2000,42540,42079,42079002003,1,1
2000,42540,42079,42079002004,1,1
2000,42540,42079,42079002005,1,1
2000,42540,42079,42079002008,1,1
2000,42540,42079,42079002011,1,1
2000,42540,42079,42079002014,1,1
2000,42540,42079,42079002121,1,1
2000,42540,42079,42079002128,1,1
2000,42540,42079,42079002129,1,1
2000,42540,42079,42079002130,1,1
2000,33874,42091,42091002044,1,1
2000,37964,42101,42101000099,1,1
2000,37964,42101,42101000225,1,1
2000,37964,42101,42101000229,1,1
2000,37964,42101,42101000230,1,1
2000,37964,42101,42101000235,1,1
2000,34980,47037,47037000185,1,1
2000,34980,47037,47037017902,1,1
2000,16860,47065,47065010502,1,1
2000,28940,47093,47093000025,1,1
2000,41700,48029,48029001803,1,1
2000,41700,48029,48029001804,1,1
2000,19124,48113,48113000075,1,1
2000,19124,48113,48113000081,1,1
2000,19124,48113,48113007101,1,1
2000,19124,48113,48113007604,1,1
2000,19124,48113,48113019501,1,1
2000,19124,48113,48113019502,1,1
2000,26420,48201,48201003126,1,1
2000,26420,48201,48201003127,1,1
2000,26420,48201,48201003129,1,1
2000,26420,48201,48201003130,1,1
2000,26420,48201,48201004108,1,1
2000,26420,48201,48201004109,1,1
2000,26420,48201,48201004119,1,1
2000,23104,48439,48439102201,1,1
2000,23104,48439,48439104201,1,1
2000,23104,48439,48439104202,1,1
2000,23104,48439,48439105403,1,1
2000,23104,48439,48439110602,1,1
2000,12420,48453,48453000102,1,1
2000,12420,48453,48453001604,1,1
2000,41620,49035,49035001013,1,1
2000,41620,49035,49035001036,1,1
2000,41620,49035,49035001041,1,1
2000,41620,49035,49035001044,1,1
2000,36260,49057,49057002014,1,1
2000,47260,51740,51740002104,1,1
2000,31540,55025,55025000102,1,1
2000,25540,09003,09003004974,1.00000803473,1
2000,34980,47037,47037017901,1.00004663886,1
2000,43340,22017,22017000228,1.00021529929,1
2000,35614,36061,36061000275,1.00026760832,1
2000,33460,27123,27123000351,1.00031118589,1
2000,36540,31055,31055000036,1.00034043471,1
2000,43780,18141,18141000012,1.00043809603,1
2000,16740,37119,37119000027,1.00051005901,1
2000,41180,29189,29189002162,1.00055019874,1
2000,40060,51760,51760000506,1.00072983449,1
2000,31084,06037,06037007006,1.0008601606,1
2000,19780,19153,19153000029,1.00127482936,1
2000,49620,42133,42133010510,1.00131495409,1
2000,43580,19193,19193000010,1.00158718759,1
2000,34980,47037,47037000177,1.00163390888,1
2000,33124,12086,12086004101,1.00182734064,1
2000,25540,09003,09003004164,1.00209931465,1
