geoid,cbsa,metro_name,hri,interval,year
13051000009,42340,"Savannah, GA",1,1,2000
13051000008,42340,"Savannah, GA",1,1,2000
36005000210,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36005000242,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36005000212,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
27137000037,20260,"Duluth, MN-WI",1,1,2000
06001004046,36084,"Oakland-Hayward-Berkeley, CA",1,1,2000
06001004211,36084,"Oakland-Hayward-Berkeley, CA",1,1,2000
06001404501,36084,"Oakland-Hayward-Berkeley, CA",1,1,2000
06037001240,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037001417,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037003013,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037004642,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037005712,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037005713,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037007007,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037124901,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037141302,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037261102,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037651301,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037651302,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037670301,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037670321,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
06037670322,31084,"Los Angeles-Long Beach-Glendale, CA",1,1,2000
09003004174,25540,"Hartford-West Hartford-East Hartford, CT",1,1,2000
09003004972,25540,"Hartford-West Hartford-East Hartford, CT",1,1,2000
09003004973,25540,"Hartford-West Hartford-East Hartford, CT",1,1,2000
09003004975,25540,"Hartford-West Hartford-East Hartford, CT",1,1,2000
12086000040,33124,"Miami-Miami Beach-Kendall, FL",1,1,2000
12103024001,45300,"Tampa-St. Petersburg-Clearwater, FL",1,1,2000
13089000201,12060,"Atlanta-Sandy Springs-Roswell, GA",1,1,2000
18141000032,43780,"South Bend-Mishawaka, IN-MI",1,1,2000
20173000021,48620,"Wichita, KS",1,1,2000
20173000036,48620,"Wichita, KS",1,1,2000
20173000074,48620,"Wichita, KS",1,1,2000
21111000096,31140,"Louisville/Jefferson County, KY-IN",1,1,2000
22017000227,43340,"Shreveport-Bossier City, LA",1,1,2000
22017000231,43340,"Shreveport-Bossier City, LA",1,1,2000
26163005009,19804,"Detroit-Dearborn-Livonia, MI",1,1,2000
26163005010,19804,"Detroit-Dearborn-Livonia, MI",1,1,2000
26163005382,19804,"Detroit-Dearborn-Livonia, MI",1,1,2000
26163005386,19804,"Detroit-Dearborn-Livonia, MI",1,1,2000
26163005509,19804,"Detroit-Dearborn-Livonia, MI",1,1,2000
27123000363,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,1,2000
29189002165,41180,"St. Louis, MO-IL",1,1,2000
31055000045,36540,"Omaha-Council Bluffs, NE-IA",1,1,2000
31055000046,36540,"Omaha-Council Bluffs, NE-IA",1,1,2000
31055000047,36540,"Omaha-Council Bluffs, NE-IA",1,1,2000
31055000048,36540,"Omaha-Council Bluffs, NE-IA",1,1,2000
31055006604,36540,"Omaha-Council Bluffs, NE-IA",1,1,2000
31055006701,36540,"Omaha-Council Bluffs, NE-IA",1,1,2000
31109000024,30700,"Lincoln, NE",1,1,2000
34021000012,45940,"Trenton, NJ",1,1,2000
36001013706,10580,"Albany-Schenectady-Troy, NY",1,1,2000
36047000040,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061000102,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061000120,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061000122,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061000128,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061000130,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061000142,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061011401,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061011402,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061015001,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061015002,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36061016001,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36081000739,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36081000741,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36081000747,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36119002104,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36119002105,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36119002107,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
36119006802,35614,"New York-Jersey City-White Plains, NY-NJ",1,1,2000
37067002501,49180,"Winston-Salem, NC",1,1,2000
37067002502,49180,"Winston-Salem, NC",1,1,2000
39035001831,17460,"Cleveland-Elyria, OH",1,1,2000
39035001833,17460,"Cleveland-Elyria, OH",1,1,2000
39035183401,17460,"Cleveland-Elyria, OH",1,1,2000
39035183501,17460,"Cleveland-Elyria, OH",1,1,2000
39035183502,17460,"Cleveland-Elyria, OH",1,1,2000
39035183604,17460,"Cleveland-Elyria, OH",1,1,2000
39095001301,45780,"Toledo, OH",1,1,2000
39113000204,19380,"Dayton, OH",1,1,2000
39153005062,10420,"Akron, OH",1,1,2000
39153507101,10420,"Akron, OH",1,1,2000
39153507102,10420,"Akron, OH",1,1,2000
40109106401,36420,"Oklahoma City, OK",1,1,2000
40143000045,46140,"Tulsa, OK",1,1,2000
40143004101,46140,"Tulsa, OK",1,1,2000
41005000201,38900,"Portland-Vancouver-Hillsboro, OR-WA",1,1,2000
42003004732,38300,"Pittsburgh, PA",1,1,2000
42003004735,38300,"Pittsburgh, PA",1,1,2000
42041000105,25420,"Harrisburg-Carlisle, PA",1,1,2000
42045004061,37964,"Philadelphia, PA",1,1,2000
42071011802,29540,"Lancaster, PA",1,1,2000
42079002002,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002003,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002004,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002005,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002008,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002011,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002014,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002121,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002128,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002129,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42079002130,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,1,2000
42091002044,33874,"Montgomery County-Bucks County-Chester County, PA",1,1,2000
42101000099,37964,"Philadelphia, PA",1,1,2000
42101000225,37964,"Philadelphia, PA",1,1,2000
42101000229,37964,"Philadelphia, PA",1,1,2000
42101000230,37964,"Philadelphia, PA",1,1,2000
42101000235,37964,"Philadelphia, PA",1,1,2000
47037000185,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,1,2000
47037017902,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,1,2000
47065010502,16860,"Chattanooga, TN-GA",1,1,2000
47093000025,28940,"Knoxville, TN",1,1,2000
48029001803,41700,"San Antonio-New Braunfels, TX",1,1,2000
48029001804,41700,"San Antonio-New Braunfels, TX",1,1,2000
48113000075,19124,"Dallas-Plano-Irving, TX",1,1,2000
48113000081,19124,"Dallas-Plano-Irving, TX",1,1,2000
48113007101,19124,"Dallas-Plano-Irving, TX",1,1,2000
48113007604,19124,"Dallas-Plano-Irving, TX",1,1,2000
48113019501,19124,"Dallas-Plano-Irving, TX",1,1,2000
48113019502,19124,"Dallas-Plano-Irving, TX",1,1,2000
48201003126,26420,"Houston-The Woodlands-Sugar Land, TX",1,1,2000
48201003127,26420,"Houston-The Woodlands-Sugar Land, TX",1,1,2000
48201003129,26420,"Houston-The Woodlands-Sugar Land, TX",1,1,2000
48201003130,26420,"Houston-The Woodlands-Sugar Land, TX",1,1,2000
48201004108,26420,"Houston-The Woodlands-Sugar Land, TX",1,1,2000
48201004109,26420,"Houston-The Woodlands-Sugar Land, TX",1,1,2000
48201004119,26420,"Houston-The Woodlands-Sugar Land, TX",1,1,2000
48439102201,23104,"Fort Worth-Arlington, TX",1,1,2000
48439104201,23104,"Fort Worth-Arlington, TX",1,1,2000
48439104202,23104,"Fort Worth-Arlington, TX",1,1,2000
48439105403,23104,"Fort Worth-Arlington, TX",1,1,2000
48439110602,23104,"Fort Worth-Arlington, TX",1,1,2000
48453000102,12420,"Austin-Round Rock, TX",1,1,2000
48453001604,12420,"Austin-Round Rock, TX",1,1,2000
49035001013,41620,"Salt Lake City, UT",1,1,2000
49035001036,41620,"Salt Lake City, UT",1,1,2000
49035001041,41620,"Salt Lake City, UT",1,1,2000
49035001044,41620,"Salt Lake City, UT",1,1,2000
49057002014,36260,"Ogden-Clearfield, UT",1,1,2000
51740002104,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,1,2000
55025000102,31540,"Madison, WI",1,1,2000
09003004974,25540,"Hartford-West Hartford-East Hartford, CT",1.00000803473,1,2000
47037017901,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1.00004663886,1,2000
22017000228,43340,"Shreveport-Bossier City, LA",1.00021529929,1,2000
36061000275,35614,"New York-Jersey City-White Plains, NY-NJ",1.00026760832,1,2000
27123000351,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.00031118589,1,2000
31055000036,36540,"Omaha-Council Bluffs, NE-IA",1.00034043471,1,2000
18141000012,43780,"South Bend-Mishawaka, IN-MI",1.00043809603,1,2000
37119000027,16740,"Charlotte-Concord-Gastonia, NC-SC",1.00051005901,1,2000
29189002162,41180,"St. Louis, MO-IL",1.00055019874,1,2000
51760000506,40060,"Richmond, VA",1.00072983449,1,2000
06037007006,31084,"Los Angeles-Long Beach-Glendale, CA",1.0008601606,1,2000
19153000029,19780,"Des Moines-West Des Moines, IA",1.00127482936,1,2000
42133010510,49620,"York-Hanover, PA",1.00131495409,1,2000
19193000010,43580,"Sioux City, IA-NE-SD",1.00158718759,1,2000
47037000177,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1.00163390888,1,2000
12086004101,33124,"Miami-Miami Beach-Kendall, FL",1.00182734064,1,2000
09003004164,25540,"Hartford-West Hartford-East Hartford, CT",1.00209931465,1,2000
39113000101,19380,"Dayton, OH",1.00211412361,1,2000
36119002103,35614,"New York-Jersey City-White Plains, NY-NJ",1.00239332175,1,2000
39035183605,17460,"Cleveland-Elyria, OH",1.00240416092,1,2000
18097003219,26900,"Indianapolis-Carmel-Anderson, IN",1.00276492295,1,2000
04013001119,38060,"Phoenix-Mesa-Scottsdale, AZ",1.0027668915,1,2000
18097003208,26900,"Indianapolis-Carmel-Anderson, IN",1.00288452928,1,2000
39113000203,19380,"Dayton, OH",1.00342964521,1,2000
09003004977,25540,"Hartford-West Hartford-East Hartford, CT",1.00368699092,1,2000
39113000202,19380,"Dayton, OH",1.00383352177,1,2000
26163005385,19804,"Detroit-Dearborn-Livonia, MI",1.00383563228,1,2000
42079002007,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1.00425423587,1,2000
42079002010,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1.00467768241,1,2000
44007000150,39300,"Providence-Warwick, RI-MA",1.00478323431,1,2000
39035001832,17460,"Cleveland-Elyria, OH",1.00499237258,1,2000
44007013702,39300,"Providence-Warwick, RI-MA",1.00502544071,1,2000
20091000508,28140,"Kansas City, MO-KS",1.00524595261,1,2000
40109001020,36420,"Oklahoma City, OK",1.00538816373,1,2000
36119000067,35614,"New York-Jersey City-White Plains, NY-NJ",1.00553733173,1,2000
42003473401,38300,"Pittsburgh, PA",1.00611889156,1,2000
40143004301,46140,"Tulsa, OK",1.00708850395,1,2000
06037004306,31084,"Los Angeles-Long Beach-Glendale, CA",1.00715662816,1,2000
36119006801,35614,"New York-Jersey City-White Plains, NY-NJ",1.00897511394,1,2000
39035187105,17460,"Cleveland-Elyria, OH",1.00900354869,1,2000
40109001021,36420,"Oklahoma City, OK",1.00902464837,1,2000
39095000076,45780,"Toledo, OH",1.01011423674,1,2000
42091202302,33874,"Montgomery County-Bucks County-Chester County, PA",1.01026011615,1,2000
20173000010,48620,"Wichita, KS",1.01032980513,1,2000
42079002127,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1.01040273901,1,2000
