month,day,carrier,origin,arr_delay,arr_time,sched_arr_time
3,8,EV,EWR,NA,NA,1821
10,5,US,JFK,-5,806,811
5,19,DL,JFK,-16,1442,1458
5,25,EV,JFK,111,2251,2100
4,27,B6,JFK,-48,2044,2132
9,18,B6,JFK,-26,1132,1158
11,15,EV,EWR,-7,1820,1827
11,18,UA,EWR,2,1116,1114
4,29,AA,JFK,-1,1819,1820
10,30,9E,EWR,5,1336,1331
11,23,B6,JFK,11,1911,1900
1,21,B6,JFK,26,932,906
6,21,B6,JFK,-15,1352,1407
5,17,AA,LGA,18,2108,2050
10,25,UA,EWR,1,1624,1623
9,16,EV,LGA,-14,1136,1150
7,8,FL,LGA,-8,1524,1532
2,2,B6,JFK,-3,924,927
3,28,B6,JFK,-20,2107,2127
3,10,AA,EWR,-1,1239,1240
6,30,9E,JFK,NA,NA,2142
2,25,UA,EWR,-26,1709,1735
3,25,MQ,LGA,NA,NA,1450
10,30,UA,EWR,26,2056,2030
5,14,DL,LGA,2,1020,1018
9,13,MQ,EWR,0,715,715
11,27,UA,EWR,NA,1409,1211
7,29,DL,LGA,3,905,902
6,13,UA,LGA,132,1403,1151
8,4,UA,LGA,3,1146,1143
8,16,MQ,LGA,3,1503,1500
8,24,MQ,LGA,68,1658,1550
10,2,9E,JFK,-22,936,958
2,18,DL,LGA,4,2023,2019
10,24,FL,LGA,23,1700,1637
10,10,9E,EWR,39,1949,1910
10,17,DL,LGA,5,2110,2105
1,10,US,LGA,-4,1403,1407
7,19,DL,LGA,-28,1046,1114
7,4,WN,LGA,-27,1358,1425
4,21,US,LGA,1,1457,1456
2,28,MQ,LGA,0,830,830
6,13,UA,EWR,94,2334,2200
1,30,AA,JFK,-18,2207,2225
1,26,B6,EWR,-14,1040,1054
1,14,DL,LGA,-7,810,817
2,14,B6,LGA,59,45,2346
4,23,EV,EWR,17,1159,1142
4,19,VX,JFK,-17,1218,1235
12,25,AA,JFK,31,1836,1805
10,3,EV,EWR,2,911,909
7,30,UA,EWR,-7,951,958
12,31,UA,LGA,12,1347,1335
5,27,B6,LGA,-48,1221,1309
9,30,EV,EWR,-19,1144,1203
9,8,DL,LGA,-12,2220,2232
7,30,MQ,LGA,13,1113,1100
10,2,EV,EWR,-11,1528,1539
7,26,9E,JFK,-8,1757,1805
3,25,EV,EWR,26,826,800
11,18,US,LGA,-1,1718,1719
2,23,AA,JFK,25,1940,1915
5,24,B6,JFK,54,2329,2235
7,14,MQ,EWR,-3,1452,1455
2,18,EV,EWR,-7,1730,1737
8,29,WN,LGA,-22,1523,1545
2,4,UA,EWR,1,914,913
12,1,EV,LGA,-18,1415,1433
5,26,WN,EWR,14,1404,1350
6,6,EV,EWR,46,2209,2123
3,18,AA,JFK,-22,1018,1040
4,2,B6,JFK,11,2100,2049
12,29,9E,JFK,116,2156,2000
3,18,UA,EWR,-15,1621,1636
4,21,UA,EWR,-6,24,30
5,19,DL,JFK,6,2047,2041
10,6,UA,EWR,23,1239,1216
4,5,B6,LGA,76,2017,1901
5,22,DL,JFK,-19,952,1011
6,27,UA,LGA,-2,1131,1133
4,9,UA,LGA,69,1947,1838
11,21,YV,LGA,-6,1358,1404
7,2,EV,EWR,45,1534,1449
9,7,AA,JFK,-14,1346,1400
8,24,EV,EWR,2,821,819
8,24,UA,EWR,NA,1707,1540
12,15,EV,EWR,12,1909,1857
5,10,B6,LGA,-5,2044,2049
10,4,EV,EWR,18,2051,2033
1,16,UA,LGA,60,1145,1045
8,7,UA,EWR,174,227,2333
6,13,UA,EWR,28,1137,1109
5,18,B6,JFK,-39,2141,2220
10,9,EV,EWR,-20,1131,1151
2,8,UA,EWR,-17,1031,1048
6,10,MQ,LGA,NA,NA,2310
11,20,DL,LGA,-19,1120,1139
7,9,UA,EWR,101,2142,2001
1,2,EV,EWR,25,1453,1428
10,9,EV,EWR,-35,1559,1634
9,3,US,LGA,-5,1325,1330
3,23,VX,JFK,25,2040,2015
11,11,DL,JFK,-22,1330,1352
8,25,AA,LGA,-47,1457,1544
4,11,US,LGA,47,2143,2056
3,27,UA,LGA,4,1730,1726
5,10,EV,EWR,57,1133,1036
10,17,DL,LGA,-12,801,813
6,19,UA,EWR,-16,1939,1955
7,12,DL,LGA,-7,904,911
9,22,MQ,LGA,-28,1226,1254
10,24,DL,LGA,-22,1619,1641
11,14,UA,EWR,-17,1411,1428
1,25,UA,EWR,0,1115,1115
10,14,MQ,JFK,-5,905,910
4,25,MQ,JFK,48,1723,1635
5,19,MQ,LGA,-10,1100,1110
2,10,B6,LGA,-25,2017,2042
7,7,DL,JFK,-31,1039,1110
7,4,DL,JFK,41,1628,1547
9,23,EV,LGA,-2,1302,1304
9,23,UA,EWR,-21,721,742
7,30,US,LGA,-6,1809,1815
12,7,EV,EWR,31,1858,1827
9,30,WN,LGA,15,2205,2150
7,18,MQ,JFK,NA,NA,1645
1,20,MQ,LGA,-6,1649,1655
11,9,DL,JFK,NA,2210,1906
12,17,EV,EWR,96,2235,2059
11,17,EV,EWR,155,54,2219
12,5,EV,LGA,161,56,2215
8,16,9E,JFK,-9,1652,1701
7,10,EV,EWR,-8,1107,1115
2,7,AA,JFK,-11,1944,1955
1,11,B6,JFK,-15,1206,1221
12,11,B6,JFK,24,1808,1744
6,22,B6,JFK,1,1022,1021
9,4,EV,EWR,-5,1725,1730
1,12,AA,LGA,-27,1223,1250
3,20,AA,JFK,-12,1943,1955
6,14,B6,JFK,32,1943,1911
12,19,US,LGA,10,1220,1210
1,10,DL,LGA,-30,949,1019
2,16,AA,LGA,0,1015,1015
3,18,B6,JFK,-2,2013,2015
3,10,FL,LGA,-9,1955,2004
10,7,UA,EWR,-17,834,851
3,3,DL,LGA,-30,1802,1832
5,10,MQ,JFK,17,1647,1630
10,26,AA,JFK,-20,1340,1400
7,2,AA,LGA,-21,1614,1635
6,10,B6,LGA,-10,1611,1621
4,23,B6,JFK,9,754,745
12,21,DL,LGA,35,1414,1339
8,16,WN,EWR,-7,1518,1525
10,30,WN,LGA,18,1443,1425
7,11,DL,JFK,-23,1254,1317
7,6,9E,JFK,-23,2157,2220
9,25,EV,EWR,-36,742,818
12,5,9E,EWR,-2,855,857
1,28,UA,EWR,-18,2313,2331
3,5,EV,LGA,-18,1034,1052
12,3,B6,JFK,71,2357,2246
5,24,US,LGA,8,1422,1414
12,17,MQ,LGA,21,2246,2225
3,2,UA,EWR,2,1710,1708
4,5,AA,JFK,-30,1630,1700
3,19,MQ,JFK,11,1656,1645
10,3,WN,LGA,14,1109,1055
7,26,MQ,LGA,30,1500,1430
5,28,WN,EWR,-6,709,715
4,18,9E,JFK,19,1512,1453
11,25,DL,JFK,4,2108,2104
8,30,9E,JFK,-28,2024,2052
7,24,B6,JFK,40,1550,1510
1,13,EV,EWR,-20,1041,1101
11,23,US,EWR,-6,1922,1928
6,24,MQ,LGA,291,2201,1710
8,9,MQ,LGA,7,1352,1345
1,19,DL,JFK,-13,1856,1909
10,20,US,LGA,-27,1440,1507
3,11,UA,EWR,5,956,951
4,25,B6,LGA,79,2020,1901
11,19,AA,LGA,-8,1857,1905
9,1,AA,LGA,-35,810,845
7,21,US,LGA,-16,1253,1309
8,30,EV,EWR,42,2154,2112
6,11,EV,EWR,NA,NA,1553
2,13,US,LGA,-21,847,908
6,29,AS,EWR,-53,2052,2145
3,10,B6,JFK,-18,1958,2016
12,18,MQ,LGA,4,1009,1005
4,4,MQ,JFK,0,1830,1830
11,23,UA,EWR,55,947,852
9,17,US,JFK,-29,1807,1836
4,1,MQ,LGA,-4,1106,1110
8,26,UA,LGA,-21,812,833
2,5,9E,JFK,NA,NA,2140
5,21,9E,JFK,26,1121,1055
7,30,UA,EWR,-31,2154,2225
11,7,9E,JFK,-21,933,954
1,7,AA,JFK,-24,1531,1555
9,25,UA,EWR,-8,1759,1807
11,8,B6,JFK,-10,2024,2034
12,8,US,LGA,26,1341,1315
2,3,B6,EWR,-6,1611,1617
11,7,UA,JFK,-22,1410,1432
4,6,B6,JFK,-8,2250,2258
9,5,AA,LGA,-22,843,905
12,11,US,LGA,-23,1147,1210
10,10,MQ,LGA,8,1338,1330
2,13,EV,JFK,172,1809,1517
5,2,B6,JFK,-38,1833,1911
8,14,AA,LGA,12,1957,1945
6,11,DL,JFK,-25,1831,1856
7,17,EV,EWR,103,1838,1655
4,6,WN,LGA,-13,1627,1640
12,13,MQ,LGA,14,1114,1100
5,11,B6,LGA,91,2058,1927
7,7,EV,EWR,9,1738,1729
2,15,UA,JFK,5,1152,1147
9,13,B6,JFK,-18,735,753
11,12,UA,EWR,-25,1632,1657
7,29,B6,JFK,4,935,931
5,4,B6,JFK,-23,2021,2044
12,31,DL,LGA,10,1142,1132
4,6,EV,EWR,-15,1820,1835
10,9,MQ,LGA,8,2253,2245
8,29,VX,EWR,-26,1019,1045
1,30,EV,EWR,157,1232,955
9,14,DL,JFK,-13,1034,1047
10,11,DL,JFK,-26,2124,2150
3,3,MQ,LGA,-22,2008,2030
8,8,B6,EWR,-5,1124,1129
3,5,B6,JFK,-10,2256,2306
1,25,EV,EWR,-6,1200,1206
5,19,EV,EWR,-6,1635,1641
10,3,EV,EWR,27,1452,1425
7,3,EV,JFK,-2,1112,1114
6,7,B6,JFK,2,1846,1844
6,20,UA,EWR,-25,1114,1139
2,22,DL,LGA,13,1648,1635
2,7,DL,LGA,5,1641,1636
1,13,UA,LGA,15,952,937
5,7,9E,LGA,-36,1128,1204
12,16,UA,EWR,9,2217,2208
8,1,DL,JFK,-15,1855,1910
2,10,EV,EWR,29,1734,1705
10,22,EV,LGA,36,1816,1740
6,6,EV,EWR,-28,828,856
8,9,AA,LGA,0,930,930
8,7,DL,LGA,-9,1635,1644
10,30,UA,EWR,41,2109,2028
11,28,UA,EWR,-25,1120,1145
6,19,MQ,LGA,-2,2233,2235
6,2,EV,EWR,-6,919,925
2,23,9E,JFK,6,1632,1626
5,9,WN,EWR,91,2131,2000
4,29,DL,JFK,22,1428,1406
7,4,DL,JFK,-14,3,17
11,9,B6,JFK,-19,2332,2351
8,14,AA,LGA,-15,1840,1855
12,7,AA,JFK,33,1413,1340
2,8,UA,EWR,-7,938,945
9,2,US,EWR,-9,818,827
10,7,WN,EWR,33,1458,1425
9,5,EV,LGA,-9,1835,1844
10,31,UA,EWR,-27,1701,1728
6,26,EV,LGA,-8,1114,1122
2,14,DL,LGA,8,1000,952
8,2,9E,LGA,8,2253,2245
2,17,AA,LGA,-27,2243,2310
10,16,WN,EWR,26,1946,1920
6,6,US,LGA,-15,1007,1022
6,4,UA,EWR,-32,1743,1815
2,13,UA,EWR,54,1404,1310
11,17,US,JFK,-5,1652,1657
11,12,B6,LGA,36,2319,2243
3,21,MQ,LGA,14,1044,1030
11,2,EV,EWR,10,1112,1102
1,11,UA,EWR,-11,1702,1713
10,21,B6,JFK,-10,2054,2104
4,14,VX,JFK,-2,1033,1035
7,17,DL,LGA,-16,2030,2046
3,23,AA,LGA,-18,1647,1705
2,1,UA,LGA,-1,1944,1945
10,3,UA,EWR,6,1813,1807
8,22,B6,EWR,-22,1042,1104
12,20,MQ,LGA,-16,1519,1535
7,13,EV,EWR,48,1907,1819
2,3,DL,LGA,-1,836,837
4,3,DL,LGA,24,1558,1534
10,15,B6,JFK,4,3,2359
8,27,9E,JFK,7,1708,1701
5,11,US,JFK,58,1954,1856
8,22,UA,EWR,-1,1838,1839
10,20,US,LGA,-34,951,1025
11,5,US,JFK,-9,1648,1657
2,28,UA,JFK,-39,2034,2113
5,13,UA,EWR,-4,1253,1257
11,14,DL,LGA,-21,1818,1839
8,9,MQ,LGA,87,2352,2225
12,9,B6,JFK,45,2132,2047
4,10,UA,EWR,-18,1411,1429
11,4,UA,EWR,12,1200,1148
3,3,DL,JFK,-5,1506,1511
5,12,EV,EWR,12,2036,2024
5,22,B6,JFK,10,1055,1045
1,23,9E,JFK,4,1747,1743
12,1,AA,JFK,-2,1843,1845
6,19,AA,LGA,0,1205,1205
12,21,UA,EWR,9,1653,1644
12,11,EV,EWR,1,945,944
10,4,MQ,LGA,-14,1536,1550
11,25,9E,JFK,-11,2039,2050
3,11,9E,JFK,-25,2005,2030
10,12,UA,EWR,-28,1606,1634
1,4,B6,JFK,9,2359,2350
4,7,MQ,LGA,32,1552,1520
3,14,DL,JFK,-9,1307,1316
9,24,EV,JFK,13,1601,1548
8,18,AA,JFK,-5,835,840
2,24,UA,EWR,-10,1733,1743
9,15,UA,JFK,-18,2014,2032
7,8,VX,JFK,253,228,2215
2,1,AA,JFK,-19,1336,1355
7,29,UA,JFK,20,2118,2058
5,6,VX,JFK,-21,2204,2225
4,1,DL,JFK,-12,1032,1044
1,6,DL,JFK,-20,1600,1620
7,25,DL,JFK,-9,955,1004
12,15,WN,EWR,-9,1436,1445
