from,to,weight,line,transfer
airside,depot_north,2841200,blue,FALSE
depot_north,airside,2654300,blue,FALSE
depot_north,union_terminal,4102400,blue,TRUE
union_terminal,depot_north,3987600,blue,TRUE
union_terminal,civic_center,3215800,blue,FALSE
civic_center,union_terminal,3109500,blue,FALSE
civic_center,lantern_hill,2187600,blue,FALSE
lantern_hill,civic_center,2043900,blue,FALSE
lantern_hill,southgate,1876500,blue,FALSE
southgate,lantern_hill,1754200,blue,FALSE
southgate,union_terminal,2934700,red,TRUE
union_terminal,southgate,3011200,red,TRUE
union_terminal,westfield,3654900,red,FALSE
westfield,union_terminal,3521300,red,FALSE
westfield,lakeview,2876400,red,FALSE
lakeview,westfield,2743800,red,FALSE
lakeview,parkside,1654300,red,FALSE
parkside,lakeview,1589700,red,FALSE
lakeview,riverside_park,987600,red,FALSE
riverside_park,lakeview,921300,red,FALSE
riverside_park,oldbury,643200,red,FALSE
oldbury,riverside_park,598700,red,FALSE
union_terminal,central_commons,2543100,green,FALSE
central_commons,union_terminal,2398700,green,FALSE
central_commons,greenway,2187600,green,FALSE
greenway,central_commons,2054300,green,FALSE
greenway,millbrook,1765400,green,FALSE
millbrook,greenway,1698200,green,FALSE
millbrook,elmhurst,1432100,green,FALSE
elmhurst,millbrook,1387600,green,FALSE
elmhurst,northgate,876500,green,FALSE
northgate,elmhurst,821300,green,FALSE
union_terminal,ironworks,2134600,green,TRUE
ironworks,union_terminal,2087400,green,TRUE
ironworks,harborview,1543200,green,FALSE
harborview,ironworks,1487900,green,FALSE
harborview,fernwood,1098700,green,FALSE
fernwood,harborview,1043200,green,FALSE
depot_north,union_terminal,1876500,red,TRUE
union_terminal,depot_north,1798300,red,TRUE
exchange_place,union_terminal,1654300,blue,FALSE
union_terminal,exchange_place,1721800,blue,FALSE
exchange_place,southgate,987600,blue,FALSE
southgate,exchange_place,921400,blue,FALSE
westfield,ironworks,1234500,green,FALSE
ironworks,westfield,1187600,green,FALSE
parkside,central_commons,187400,bus,FALSE
central_commons,parkside,172300,bus,FALSE
parkside,harborview,143200,bus,FALSE
harborview,parkside,138600,bus,FALSE
lakeview,ironworks,221500,bus,FALSE
ironworks,lakeview,214800,bus,FALSE
greenway,ironworks,164300,bus,FALSE
ironworks,greenway,158700,bus,FALSE
elmhurst,parkside,132100,bus,FALSE
parkside,elmhurst,126500,bus,FALSE
civic_center,exchange_place,198700,bus,FALSE
exchange_place,civic_center,191300,bus,FALSE
exchange_place,ironworks,176400,bus,FALSE
ironworks,exchange_place,169800,bus,FALSE
fernwood,oldbury,87600,bus,FALSE
oldbury,fernwood,82100,bus,FALSE
northgate,airside,63400,bus,FALSE
airside,northgate,59800,bus,FALSE
fernwood,parkside,118700,bus,FALSE
parkside,fernwood,112300,bus,FALSE
harborview,southgate,154200,bus,FALSE
southgate,harborview,148600,bus,FALSE
central_commons,lakeview,203400,bus,FALSE
lakeview,central_commons,196700,bus,FALSE
millbrook,depot_north,109300,bus,FALSE
depot_north,millbrook,103700,bus,FALSE
westfield,central_commons,543200,bus,FALSE
central_commons,westfield,498700,bus,FALSE
central_commons,ironworks,412300,bus,FALSE
ironworks,central_commons,387600,bus,FALSE
ironworks,lakeview,356100,bus,FALSE
lakeview,ironworks,334500,bus,FALSE
lakeview,harborview,298700,bus,FALSE
harborview,lakeview,276400,bus,FALSE
harborview,westfield,321800,bus,FALSE
westfield,harborview,309200,bus,FALSE
elmhurst,central_commons,198700,bus,FALSE
central_commons,elmhurst,187400,bus,FALSE
millbrook,central_commons,176500,bus,FALSE
central_commons,millbrook,165300,bus,FALSE
airside,fernwood,143200,bus,FALSE
fernwood,airside,132100,bus,FALSE
parkside,fernwood,121800,bus,FALSE
fernwood,parkside,113400,bus,FALSE
northgate,riverside_park,109700,bus,FALSE
riverside_park,northgate,102300,bus,FALSE
oldbury,fernwood,87600,bus,FALSE
fernwood,oldbury,81200,bus,FALSE
depot_north,exchange_place,432100,bus,FALSE
exchange_place,depot_north,409800,bus,FALSE
civic_center,exchange_place,387200,bus,FALSE
exchange_place,civic_center,365400,bus,FALSE
southgate,depot_north,298700,bus,FALSE
depot_north,southgate,276500,bus,FALSE
parkside,central_commons,223400,bus,FALSE
central_commons,parkside,209800,bus,FALSE
greenway,ironworks,187600,bus,FALSE
ironworks,greenway,176300,bus,FALSE
