name,zone,accessibility,lat,lon
union_terminal,downtown,high,42.3601,-71.0589
civic_center,downtown,high,42.3580,-71.0615
exchange_place,downtown,medium,42.3555,-71.0570
southgate,downtown,high,42.3519,-71.0552
lantern_hill,downtown,medium,42.3524,-71.0634
westfield,midtown,high,42.3491,-71.0814
parkside,midtown,medium,42.3437,-71.0994
lakeview,midtown,high,42.3487,-71.0956
central_commons,midtown,medium,42.3651,-71.1037
millbrook,uptown,medium,42.3884,-71.1191
greenway,uptown,high,42.3736,-71.1189
elmhurst,uptown,medium,42.3966,-71.1225
northgate,suburb,low,42.3954,-71.1426
riverside_park,suburb,low,42.3368,-71.1683
oldbury,suburb,low,42.3299,-71.1934
fernwood,suburb,medium,42.3006,-71.1134
harborview,midtown,medium,42.3313,-71.0993
ironworks,midtown,medium,42.3364,-71.0899
depot_north,downtown,high,42.3657,-71.0596
airside,suburb,medium,42.3656,-71.0201
